price,hour,day,month
26498.0,1,31,12
25147.0,2,31,12
24574.0,3,31,12
24393.0,4,31,12
24860.0,5,31,12
26222.0,6,31,12
28702.0,7,31,12
30698.0,8,31,12
31800.0,9,31,12
32359.0,10,31,12
32371.0,11,31,12
31902.0,12,31,12
31126.0,13,31,12
30368.0,14,31,12
29564.0,15,31,12
29098.0,16,31,12
30308.0,17,31,12
34017.0,18,31,12
34195.0,19,31,12
32790.0,20,31,12
31336.0,21,31,12
29887.0,22,31,12
28483.0,23,31,12
27008.0,0,1,1
27526.0,1,30,12
26600.0,2,30,12
26241.0,3,30,12
26213.0,4,30,12
26871.0,5,30,12
28679.0,6,30,12
31509.0,7,30,12
33665.0,8,30,12
34625.0,9,30,12
34655.0,10,30,12
34295.0,11,30,12
33711.0,12,30,12
33087.0,13,30,12
32668.0,14,30,12
32380.0,15,30,12
32484.0,16,30,12
34076.0,17,30,12
36979.0,18,30,12
37106.0,19,30,12
36492.0,20,30,12
35468.0,21,30,12
33944.0,22,30,12
31619.0,23,30,12
28765.0,0,31,12
27084.0,1,29,12
25836.0,2,29,12
25320.0,3,29,12
25146.0,4,29,12
25142.0,5,29,12
25741.0,6,29,12
26546.0,7,29,12
27483.0,8,29,12
28513.0,9,29,12
29220.0,10,29,12
29345.0,11,29,12
29189.0,12,29,12
29056.0,13,29,12
28688.0,14,29,12
28284.0,15,29,12
28225.0,16,29,12
29835.0,17,29,12
33546.0,18,29,12
34343.0,19,29,12
34238.0,20,29,12
33962.0,21,29,12
33002.0,22,29,12
31501.0,23,29,12
29365.0,0,30,12
29344.0,1,28,12
28123.0,2,28,12
27526.0,3,28,12
27288.0,4,28,12
27451.0,5,28,12
28098.0,6,28,12
29338.0,7,28,12
30492.0,8,28,12
31776.0,9,28,12
32516.0,10,28,12
32552.0,11,28,12
32068.0,12,28,12
31256.0,13,28,12
30505.0,14,28,12
29933.0,15,28,12
30212.0,16,28,12
31638.0,17,28,12
34785.0,18,28,12
34937.0,19,28,12
34543.0,20,28,12
33974.0,21,28,12
33167.0,22,28,12
31433.0,23,28,12
28976.0,0,29,12
28445.0,1,27,12
27266.0,2,27,12
26744.0,3,27,12
26760.0,4,27,12
27166.0,5,27,12
28628.0,6,27,12
31179.0,7,27,12
33078.0,8,27,12
34368.0,9,27,12
35167.0,10,27,12
35421.0,11,27,12
34981.0,12,27,12
34464.0,13,27,12
34050.0,14,27,12
33682.0,15,27,12
33637.0,16,27,12
35105.0,17,27,12
38156.0,18,27,12
38199.0,19,27,12
37492.0,20,27,12
36708.0,21,27,12
35540.0,22,27,12
33742.0,23,27,12
31348.0,0,28,12
26705.0,1,26,12
25977.0,2,26,12
25555.0,3,26,12
25589.0,4,26,12
26047.0,5,26,12
27500.0,6,26,12
30046.0,7,26,12
31748.0,8,26,12
33008.0,9,26,12
33790.0,10,26,12
34223.0,11,26,12
34325.0,12,26,12
33997.0,13,26,12
33594.0,14,26,12
33114.0,15,26,12
33098.0,16,26,12
34612.0,17,26,12
37956.0,18,26,12
38118.0,19,26,12
37594.0,20,26,12
36711.0,21,26,12
35383.0,22,26,12
33296.0,23,26,12
30494.0,0,27,12
27669.0,1,25,12
26162.0,2,25,12
